,address,altitude,latitude,longitude,timestamp,rssi,receiver,speed,heading,callsign,distance
39,4D2359,37000.0,52.44477,6.99633,2025-05-24 14:42:14.604267886+02:00,-91.20361834927384,zi-5110,,,,24.73521265763602
142,39E682,36000.0,52.42559,6.6603,2025-05-24 14:42:24.003117904+02:00,-183.52915299755514,zi-5067,,,,24.717051040842396
143,39E682,36000.0,52.42559,6.6603,2025-05-24 14:42:24.102837344+02:00,-62.25752966509353,zi-5110,,,,24.717051040842396
28,4D2359,37000.0,52.44459,6.9928,2025-05-24 14:42:13.619300318+02:00,-75.12090255048857,zi-5110,,,,24.626530066104863
150,39E682,36000.0,52.42365,6.65802,2025-05-24 14:42:25.092337490+02:00,-189.65837708891215,zi-5067,,,,24.621580210513454
149,39E682,36000.0,52.42365,6.65802,2025-05-24 14:42:25.088670958+02:00,-86.83518871978112,zi-5110,,,,24.621580210513454
153,39E682,36000.0,52.42271,6.65693,2025-05-24 14:42:25.632648684+02:00,-30.799350642505434,zi-5110,,,,24.57566578914444
158,39E682,36000.0,52.42201,6.65607,2025-05-24 14:42:25.964649365+02:00,-79.68374991176056,zi-5110,,,,24.54368858285456
160,39E682,36000.0,52.42201,6.65607,2025-05-24 14:42:25.967686736+02:00,-260.14313367836564,zi-5067,,,,24.54368858285456
18,4D2359,37000.0,52.4444,6.98935,2025-05-24 14:42:12.635587745+02:00,-68.49817515817483,zi-5110,,,,24.52066857178056
165,39E682,36000.0,52.42113,6.65497,2025-05-24 14:42:26.615824031+02:00,-34.61935874622752,zi-5110,,,,24.504700865109672
168,39E682,36000.0,52.42003,6.65375,2025-05-24 14:42:27.161777992+02:00,-71.4499825052463,zi-5110,,,,24.450772581562813
169,39E682,36000.0,52.42003,6.65375,2025-05-24 14:42:27.164855694+02:00,-312.289529123216,zi-5067,,,,24.450772581562813
11,4D2359,37000.0,52.4442,6.98586,2025-05-24 14:42:11.545628904+02:00,-74.00945885493286,zi-5110,,,,24.41460973102607
180,39E682,36000.0,52.41824,6.65161,2025-05-24 14:42:28.145913494+02:00,-88.49322007928065,zi-5110,,,,24.370731519576303
181,39E682,36000.0,52.41824,6.65161,2025-05-24 14:42:28.148653086+02:00,-149.34808334893353,zi-5067,,,,24.370731519576303
5,4D2359,37000.0,52.44402,6.98235,2025-05-24 14:42:10.562948243+02:00,-87.43511880245832,zi-5110,,,,24.312032585570687
189,39E682,36000.0,52.41609,6.64902,2025-05-24 14:42:29.244802849+02:00,-179.72437230381416,zi-5067,,,,24.278341196715825
188,39E682,36000.0,52.41609,6.64902,2025-05-24 14:42:29.241873937+02:00,-69.40425059029167,zi-5110,,,,24.278341196715825
198,39E682,36000.0,52.41414,6.64665,2025-05-24 14:42:30.442949845+02:00,-221.80430563900245,zi-5067,,,,24.198243100668932
